date,store,item,zone
01-01-2018,1,1,1
02-01-2018,1,1,1
03-01-2018,1,1,1
04-01-2018,1,1,1
05-01-2018,1,1,1
06-01-2018,1,1,1
07-01-2018,1,1,1
08-01-2018,1,1,1
09-01-2018,1,1,1
10-01-2018,1,1,1
11-01-2018,1,1,1
12-01-2018,1,1,1
13-01-2018,1,1,1
14-01-2018,1,1,1
15-01-2018,1,1,1
16-01-2018,1,1,1
17-01-2018,1,1,1
18-01-2018,1,1,1
19-01-2018,1,1,1
20-01-2018,1,1,1
21-01-2018,1,1,1
22-01-2018,1,1,1
23-01-2018,1,1,1
24-01-2018,1,1,1
25-01-2018,1,1,1
26-01-2018,1,1,1
27-01-2018,1,1,1
28-01-2018,1,1,1
29-01-2018,1,1,1
30-01-2018,1,1,1
31-01-2018,1,1,1
01-02-2018,1,1,1
02-02-2018,1,1,1
03-02-2018,1,1,1
04-02-2018,1,1,1
05-02-2018,1,1,1
06-02-2018,1,1,1
07-02-2018,1,1,1
08-02-2018,1,1,1
09-02-2018,1,1,1
10-02-2018,1,1,1
11-02-2018,1,1,1
12-02-2018,1,1,1
13-02-2018,1,1,1
14-02-2018,1,1,1
15-02-2018,1,1,1
16-02-2018,1,1,1
17-02-2018,1,1,1
18-02-2018,1,1,1
19-02-2018,1,1,1
20-02-2018,1,1,1
21-02-2018,1,1,1
22-02-2018,1,1,1
23-02-2018,1,1,1
24-02-2018,1,1,1
25-02-2018,1,1,1
26-02-2018,1,1,1
27-02-2018,1,1,1
28-02-2018,1,1,1
01-03-2018,1,1,1
02-03-2018,1,1,1
03-03-2018,1,1,1
04-03-2018,1,1,1
05-03-2018,1,1,1
06-03-2018,1,1,1
07-03-2018,1,1,1
08-03-2018,1,1,1
09-03-2018,1,1,1
10-03-2018,1,1,1
11-03-2018,1,1,1
12-03-2018,1,1,1
13-03-2018,1,1,1
14-03-2018,1,1,1
15-03-2018,1,1,1
16-03-2018,1,1,1
17-03-2018,1,1,1
18-03-2018,1,1,1
19-03-2018,1,1,1
20-03-2018,1,1,1
21-03-2018,1,1,1
22-03-2018,1,1,1
23-03-2018,1,1,1
24-03-2018,1,1,1
25-03-2018,1,1,1
26-03-2018,1,1,1
27-03-2018,1,1,1
28-03-2018,1,1,1
29-03-2018,1,1,1
30-03-2018,1,1,1
31-03-2018,1,1,1
01-01-2018,2,1,1
02-01-2018,2,1,1
03-01-2018,2,1,1
04-01-2018,2,1,1
05-01-2018,2,1,1
06-01-2018,2,1,1
07-01-2018,2,1,1
08-01-2018,2,1,1
09-01-2018,2,1,1
10-01-2018,2,1,1
11-01-2018,2,1,1
12-01-2018,2,1,1
13-01-2018,2,1,1
14-01-2018,2,1,1
15-01-2018,2,1,1
16-01-2018,2,1,1
17-01-2018,2,1,1
18-01-2018,2,1,1
19-01-2018,2,1,1
20-01-2018,2,1,1
21-01-2018,2,1,1
22-01-2018,2,1,1
23-01-2018,2,1,1
24-01-2018,2,1,1
25-01-2018,2,1,1
26-01-2018,2,1,1
27-01-2018,2,1,1
28-01-2018,2,1,1
29-01-2018,2,1,1
